track name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
A Woozy Isolation Daydream,0.348,0.675,0.551,0.883,0.183,-8.618,0.141,0.809,87.994
Let's Travel to Nowhere,0.721,0.602,0.591,0.864,0.113,-7.132,0.0265,0.16,83.973
Take Me to the Moon,0.37,0.585,0.591,0.8,0.334,-6.804,0.0495,0.892,153.929
Lofi Space Station,0.136,0.16,0.461,0.788,0.286,-13.898,0.0522,0.0626,76.992
Floating Around the Empty Street,0.234,0.566,0.482,0.751,0.111,-11.373,0.0341,0.1,77.011
Lofi Asteroid,0.754,0.762,0.617,0.89,0.121,-5.628,0.0459,0.494,140.049
Connecting With the Stars,0.985,0.334,0.139,0.365,0.188,-9.976,0.0433,0.352,95.343
Slinky Cat Walk,0.472,0.666,0.521,0.922,0.13,-9.924,0.0636,0.555,186.019
Chillout Lofi Study Vibes,0.864,0.698,0.294,0.77,0.0979,-12.601,0.12,0.963,92.978
Morning Vibes - Beat Instrumental,0.91,0.727,0.575,0.907,0.113,-6.352,0.0852,0.734,65.85
Jazzhop Café Beat - Chill Instrumental,0.317,0.718,0.364,0.741,0.26,-11.887,0.115,0.625,135.05
Saxophone Guy - Lofi Hip Hop Remix,0.988,0.351,0.458,0.918,0.195,-10.582,0.0509,0.506,143.706
Jazzhop Jazz Bar - Instrumental Beat,0.962,0.548,0.313,0.901,0.128,-12.721,0.491,0.654,146.63
Piano Cafe Chill - Beat Instrumental,0.208,0.538,0.0578,0.899,0.107,-17.038,0.128,0.769,216.681
Lofi Chillhop Cafe - Beat Instrumental,0.989,0.493,0.26,0.732,0.109,-16.036,0.0427,0.179,73.914
Jazz Piano Relaxing - Instrumental Beat,0.842,0.78,0.353,0.931,0.102,-10.905,0.0379,0.536,140.399
Chillhop Summer 2020 - Beats Instrumental,0.0702,0.728,0.525,0.0677,0.125,-7.028,0.0399,0.382,135.027
Korean Cafe Music - Instrumental Rap,0.067,0.596,0.342,0.743,0.443,-12.586,0.14,0.41,73.86
Dormir Bebes - Instrumental,0.97,0.654,0.0729,0.746,0.111,-20.664,0.0454,0.095,62.108
Improv Music Live - Jazz Hop Beat,0.49,0.699,0.448,0.877,0.543,-5.39,0.0667,0.296,140.311
Me And My Guitar - Instrumental Lofi Beat,0.8,0.918,0.324,0.927,0.11,-16.701,0.293,0.949,135.087
Lofi Hip Hop Rain - Beat Instrumental,0.985,0.492,0.175,0.894,0.11,-17.992,0.0335,0.209,62.145
Morning Coffee Guitar Cafe - Instrumental Beat,0.857,0.762,0.466,0.911,0.166,-10.328,0.257,0.467,136.889
Mind Relaxing Sleep - Instrumental,0.958,0.497,0.412,0.881,0.142,-10.588,0.0624,0.5,67.463
Falling In love,0.487,0.535,0.629,0.956,0.178,-9.202,0.217,0.875,179.995
Unity Day Love - Stop The Violence,0.0175,0.524,0.527,0.942,0.121,-8.272,0.0368,0.252,170.094
Lofi Classic Beat,0.0928,0.576,0.784,0.792,0.123,-7.159,0.0286,0.117,170.004
